R,G,B
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
242.25,242.26,242.25
255.0,255.0,255.0
255.0,255.0,255.0
244.37,243.53,242.68
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
231.61,229.11,226.55
234.16,232.5,230.8
255.0,255.0,255.0
255.0,255.0,255.0
210.77,206.61,202.35
255.0,255.0,255.0
255.0,255.0,255.0
236.29,234.62,232.92
229.48,226.99,224.43
255.0,255.0,255.0
255.0,255.0,255.0
210.77,206.61,202.35
255.0,255.0,255.0
255.0,255.0,255.0
241.82,240.98,240.14
223.95,220.63,217.21
255.0,255.0,255.0
255.0,255.0,255.0
220.12,215.96,211.69
245.65,245.65,245.66
255.0,255.0,255.0
247.78,247.77,247.78
217.99,213.84,209.57
255.0,255.0,255.0
255.0,255.0,255.0
226.08,222.75,219.33
239.69,238.86,238.02
255.0,255.0,255.0
255.0,255.0,255.0
210.77,206.61,202.35
255.0,255.0,255.0
255.0,255.0,255.0
231.61,229.11,226.55
234.16,232.5,230.8
255.0,255.0,255.0
255.0,255.0,255.0
210.77,206.61,202.35
255.0,255.0,255.0
255.0,255.0,255.0
241.82,241.83,241.84
225.24,225.29,224.84
255.0,255.0,255.0
255.0,255.0,255.0
209.94,210.85,211.68
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
219.32,221.88,224.39
230.79,232.5,234.17
255.0,255.0,255.0
255.0,255.0,255.0
178.08,178.99,183.22
255.0,255.0,255.0
255.0,255.0,255.0
225.26,226.97,228.65
224.85,227.41,229.91
255.0,255.0,255.0
255.0,255.0,255.0
182.76,184.07,185.74
255.0,255.0,255.0
255.0,255.0,255.0
229.92,229.93,230.79
209.96,210.84,212.5
255.0,255.0,255.0
255.0,255.0,255.0
193.39,196.84,200.18
245.66,245.65,245.65
255.0,255.0,255.0
239.28,238.42,238.01
196.79,198.53,200.19
255.0,255.0,255.0
255.0,255.0,255.0
201.44,202.34,203.17
231.19,231.22,231.22
255.0,255.0,255.0
255.0,255.0,255.0
192.54,195.52,198.94
255.0,255.0,255.0
255.0,255.0,255.0
209.95,212.1,214.66
219.73,219.75,221.44
255.0,255.0,255.0
255.0,255.0,255.0
179.36,179.41,179.79
255.0,255.0,255.0
255.0,255.0,255.0
233.75,233.33,233.34
218.48,215.54,215.89
255.0,255.0,255.0
255.0,255.0,255.0
214.26,214.26,214.14
255.0,255.0,255.0
