R,G,B
212.15702479338842,220.82644628099175,209.82644628099175
216.71818181818182,220.9090909090909,209.63636363636363
224.95454545454547,227.78181818181818,212.79090909090908
209.5909090909091,217.94545454545454,204.0
202.4,209.98181818181817,196.44545454545454
213.79090909090908,220.1727272727273,206.0
167.1909090909091,181.23636363636365,171.06363636363636
168.05785123966942,182.64462809917356,173.03305785123968
188.38181818181818,200.22727272727272,188.95454545454547
196.01818181818183,206.03636363636363,193.2
229.86363636363637,232.79090909090908,213.79090909090908
222.1727272727273,226.36363636363637,206.92727272727274
160.23636363636365,176.28181818181818,165.3181818181818
101.94545454545455,123.15454545454546,118.6
88.28099173553719,109.68595041322314,105.02479338842976
70.39090909090909,91.14545454545454,88.0
55.027272727272724,78.25454545454545,72.94545454545455
54.736363636363635,76.39090909090909,72.66363636363636
47.75454545454546,69.2090909090909,65.21818181818182
52.63636363636363,73.48181818181818,69.42727272727272
52.80909090909091,75.02727272727273,71.7909090909091
52.20661157024794,74.84297520661157,71.19834710743801
36.81818181818182,59.27272727272727,56.663636363636364
36.154545454545456,57.70909090909091,55.981818181818184
37.68181818181818,57.518181818181816,56.77272727272727
33.68181818181818,53.35454545454545,52.972727272727276
31.927272727272726,52.0,52.41818181818182
31.545454545454547,52.54545454545455,50.77272727272727
33.5,56.08181818181818,52.90909090909091
165.44545454545454,180.76363636363635,178.95454545454547
188.56,198.25,190.4
201.52,209.41,197.99
185.5,194.59,186.84
178.22,192.8,183.7
151.04,165.62,160.18
170.67,183.13,175.98
156.64545454545456,174.72727272727272,165.62727272727273
147.43,164.43,155.81
172.79,187.16,176.41
186.52,197.17,184.54
166.33,180.62,168.62
97.68,122.45,116.89
86.76,111.01,106.05
89.87272727272727,111.08181818181818,103.39090909090909
62.65,87.24,81.77
67.81,92.09,84.68
61.58,86.05,82.16
53.59,76.78,73.94
57.55,77.53,74.23
55.14,75.76,68.0
48.07272727272727,68.85454545454546,64.50909090909092
46.7,67.63,65.62
47.38,67.28,66.19
41.55,60.42,58.87
40.11,60.87,58.07
30.96,50.96,49.58
32.6,52.78,52.02
38.31,58.48,55.23
184.1090909090909,194.92727272727274,186.3181818181818
199.22,207.07,194.89
201.24,208.31,194.38
200.46,209.32,196.85
218.37,223.81,209.22
213.75,220.05,203.78
201.52,209.87,196.19
198.43636363636364,208.4090909090909,194.76363636363635
203.56,212.4,196.55
239.38,242.85,222.76
243.49,247.02,227.17
210.65,219.29,201.62
139.55,159.05,148.75
127.95,148.26,137.84
76.16363636363636,98.65454545454546,90.14545454545454
66.24,92.11,84.86
58.71,83.94,78.63
52.02,78.59,73.66
47.9,73.78,69.85
50.29,75.74,70.51
53.28,76.04,69.26
63.518181818181816,78.57272727272728,69.82727272727273
57.43,74.91,69.95
47.35,65.14,61.68
42.83,61.49,59.03
35.0,55.23,52.7
32.35,52.23,50.48
33.5,53.8,51.32
38.06,59.56,56.28
172.45454545454547,183.96363636363637,182.0090909090909
197.93,205.1,196.34
211.94,217.33,204.42
201.96,208.77,194.96
220.84,224.29,209.16
213.26,218.79,205.36
220.22,225.45,208.9
187.3272727272727,195.75454545454545,181.01818181818183
229.03,234.68,216.02
221.88,227.61,209.38
240.2,243.03,223.72
188.75,198.11,183.01
162.48,177.03,165.51
108.48,129.14,121.86
85.2090909090909,104.63636363636364,98.05454545454545
82.39,99.81,95.45
75.29,97.64,95.36
67.29,93.11,91.29
59.88,86.89,86.62
60.19,86.03,84.54
60.75,79.82,77.42
56.1,74.16363636363636,71.11818181818182
48.08,67.81,63.5
50.25,65.99,60.43
51.51,66.17,64.97
46.24,62.22,60.75
36.46,54.84,54.13
41.56,62.68,60.25
47.38,69.71,66.07
249.63636363636363,251.92727272727274,230.53636363636363
235.23,238.47,219.04
232.55,235.5,216.5
233.59,236.64,218.43
223.87,227.91,210.1
217.03,221.0,205.67
193.63,203.69,189.69
161.94545454545454,173.3181818181818,160.72727272727272
175.13,185.46,172.09
201.95,212.17,197.24
177.41,192.57,178.18
169.58,186.25,169.99
167.13,179.51,166.86
123.64,136.78,127.54
101.74545454545455,117.56363636363636,109.02727272727273
91.3,107.41,101.13
78.37,99.96,93.9
74.34,93.4,86.25
67.34,88.07,84.39
65.39,88.85,85.85
63.78,84.23,80.62
49.64545454545455,70.60909090909091,67.54545454545455
51.64,72.44,70.18
47.4,65.44,64.04
55.4,70.77,68.14
51.27,66.23,62.27
51.49,69.02,65.94
49.02,68.96,65.04
54.63,77.95,73.7
224.12727272727273,226.8,211.98181818181817
220.87,223.0,208.8
223.63,226.13,210.29
231.86,233.65,215.47
242.85,245.39,225.84
224.68,228.21,210.76
203.3,208.79,192.69
232.9181818181818,235.1090909090909,216.1818181818182
195.49,205.77,189.16
149.19,168.56,156.99
195.53,208.34,191.97
184.19,200.64,183.46
175.77,188.38,172.82
134.48,144.75,133.19
99.46363636363637,115.83636363636364,102.15454545454546
