R,G,B
105.17272727272727,63.17272727272727,11.772727272727273
106.74,65.24,13.54
113.34,72.34,20.34
121.12,81.02,29.02
129.31,90.21,37.31
132.38,95.38,40.38
136.76363636363635,101.80909090909091,44.82727272727273
134.31,98.8,47.53
145.47,108.47,55.47
150.96,113.96,59.76
149.3,112.3,57.3
144.78,109.26,54.95
110.82727272727273,81.7909090909091,39.88181818181818
94.32,68.42,31.73
101.79,77.14,37.79
59.68,41.05,12.43
55.77,39.77,13.77
52.85,36.85,10.85
51.75454545454546,35.71818181818182,8.8
46.98,29.35,5.99
47.79,27.65,4.07
105.23,70.13,23.28
118.57,81.47,19.17
153.55,129.42,11.65
157.88,127.29,11.72
109.55454545454545,71.35454545454546,18.754545454545454
113.75,74.09,21.82
119.72,78.72,26.72
128.76,89.03,35.95
138.92,100.64,46.7
143.01,107.91,52.11
143.6,107.67272727272727,52.81818181818182
151.34,115.46,60.22
156.04,120.86,66.18
161.36,125.02,69.07
155.2,120.09,65.95
87.78,66.56,34.21
64.60909090909091,49.75454545454546,23.30909090909091
64.5,49.4,22.5
63.35,48.34,22.34
63.56,47.68,21.9
61.79,45.79,19.79
63.25,45.93,18.62
61.845454545454544,44.58181818181818,14.972727272727273
54.74,38.52,10.5
86.96,59.03,21.42
153.52,124.95,23.24
141.95,104.62,16.69
175.92,150.62,14.25
166.83,131.99,7.51
112.61818181818182,75.61818181818182,22.618181818181817
118.43,81.03,28.13
124.9,87.1,34.38
137.03,101.55,46.05
141.43,107.17,51.01
148.12,116.12,59.12
145.05454545454546,112.10909090909091,59.85454545454545
143.93,110.57,60.32
156.32,123.93,67.95
168.63,134.72,81.41
125.31,98.8,55.33
69.95,52.81,25.93
69.78181818181818,54.736363636363635,29.19090909090909
69.72,53.72,27.72
68.83,52.83,26.83
68.21,52.21,26.21
66.35,50.35,24.35
86.64,65.27,32.65
139.24545454545455,104.78181818181818,57.4
116.56,78.8,35.48
167.28,129.42,24.21
180.04,147.18,21.34
156.18,114.78,15.36
188.94,157.37,10.28
184.27,149.07,9.32
118.91818181818182,81.91818181818182,28.918181818181818
125.64,90.44,36.9
135.01,101.61,47.61
144.84,112.7,56.0
147.56,115.56,58.56
156.05,124.05,67.05
164.4909090909091,131.8,76.99090909090908
167.8,135.14,81.17
172.14,140.99,84.67
174.57,142.69,88.13
112.15,92.26,55.84
72.84,58.4,31.42
72.73636363636363,58.53636363636364,31.8
72.96,58.56,31.76
71.01,56.61,29.81
71.0,56.6,29.8
70.75,54.99,28.75
71.86,55.64,26.06
163.87272727272727,122.19090909090909,38.8
120.51,71.35,17.69
191.39,153.08,29.15
208.39,177.42,27.67
161.66,113.91,19.2
198.22,159.65,13.02
193.48,147.99,7.88
123.36363636363636,86.36363636363636,33.36363636363637
134.63,99.99,46.39
141.52,109.31,54.74
153.24,121.21,64.44
158.75,126.69,69.87
166.7,134.5,78.1
171.77272727272728,138.98181818181817,84.75454545454545
179.19,146.51,92.79
180.62,149.22,94.42
182.87,150.69,96.0
119.21,98.71,61.47
74.79,61.17,33.42
75.2090909090909,61.1,34.1
75.23,61.23,34.23
74.44,60.31,33.17
74.03,60.39,33.84
74.26,58.75,32.48
99.79,77.34,32.99
221.48181818181817,195.0818181818182,48.46363636363636
174.42,132.29,32.3
150.12,102.8,26.41
224.42,184.47,26.66
203.76,159.29,18.28
201.03,160.18,11.8
166.12,96.84,8.47
128.48181818181817,93.88181818181818,40.08181818181818
137.63,105.33,52.87
142.35,112.75,58.59
160.61,131.05,75.55
168.7,139.22,83.7
174.43,145.23,89.43
180.5909090909091,150.65454545454546,97.72727272727273
175.19,145.07,92.93
183.43,153.63,100.03
184.59,153.94,100.36
164.14,138.13,92.79
79.03,64.83,37.59
76.33636363636364,62.25454545454546,35.72727272727273
72.58,56.68,32.63
76.71,62.08,36.21
118.55,100.69,65.71
101.53,83.12,50.37
124.65,110.82,44.93
244.94545454545454,230.65454545454546,59.627272727272725
216.24,171.63,30.5
135.67,89.33,21.45
171.64,128.17,25.47
223.88,174.52,19.49
205.73,159.78,16.58
128.31,70.08,14.13
136.5090909090909,106.10909090909091,52.90909090909091
139.19,109.84,58.61
158.64,127.78,77.0
163.67,136.24,82.09
177.03,149.93,94.91
181.67,155.91,99.97
183.34545454545454,157.24545454545455,105.36363636363636
181.87,155.03,104.08
182.76,154.47,104.83
185.82,158.31,105.63
180.81,154.08,103.62
152.6,132.29,88.23
106.95454545454545,93.51818181818182,61.663636363636364
100.34,87.2,56.44
142.97,124.1,84.15
182.22,160.18,111.87
99.92,84.78,52.6
157.69,142.49,46.78
250.75454545454545,232.79090909090908,64.75454545454545
241.79,201.84,45.58
233.5,188.13,35.7
168.72,133.94,30.54
125.38,83.58,20.01
