R,G,B
0.7090909090909091,0.7090909090909091,0.7090909090909091
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.3,0.3,0.3
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.38,0.39,0.35
1.9,1.62,1.65
1.46,0.64,0.72
0.84,1.22,0.55
1.04,1.15,0.6
1.1,0.89,0.46
1.1,0.84,0.54
1.2,1.17,1.77
1.22,0.98,1.04
1.37,0.79,1.23
0.92,0.95,1.26
0.63,0.92,0.86
0.74,0.97,0.75
1.17,0.9,0.91
1.3,0.92,0.99
1.26,1.14,0.99
1.2,1.27,1.46
1.4545454545454546,1.290909090909091,1.2181818181818183
0.83,1.25,1.8
1.18,1.06,1.17
0.74,0.73,1.32
0.81,0.92,1.36
1.1,1.19,1.59
1.06,1.08,2.22
1.09,1.05,2.15
2.58,1.33,1.73
0.69,0.64,1.32
0.0,0.0,0.32
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.36363636363636365,0.36363636363636365,0.36363636363636365
1.42,1.01,1.37
49.42,54.28,51.75
60.04,76.0,69.04
59.16,70.85,59.83
57.66,67.94,57.83
59.08,69.89,59.92
56.13,67.23,57.16
59.31,69.73,61.52
52.86,65.26,54.31
60.53,74.76,67.76
55.54,65.96,55.16
61.0,74.26,64.12
55.72,67.64,58.65
58.29,70.14,61.21
57.93,74.27,64.54
54.54,70.99,63.06
65.84,85.36,80.09
66.4,80.65454545454546,75.57272727272728
74.81,75.43,76.32
74.77,82.84,87.84
84.37,97.37,106.8
82.79,97.5,107.63
82.68,97.3,107.25
82.48,97.3,106.54
83.11,97.21,106.72
73.87,84.6,95.5
2.3,2.03,3.38
0.12,0.08,0.38
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.66,0.59,0.75
61.08,64.31,59.6
86.5,127.2,106.51
89.9,132.54,98.96
81.03,116.83,87.13
93.11,137.95,108.55
79.51,120.05,86.89
98.01,147.96,114.23
83.37,119.28,86.98
98.64,152.16,126.31
84.09,126.89,91.93
98.56,152.01,120.52
84.42,128.73,94.39
89.25,134.2,102.91
95.12,143.52,110.68
84.18,123.15,90.22
138.93,172.55,163.0
114.98181818181818,140.8181818181818,135.9090909090909
125.45,124.45,123.83
124.0,115.43,112.92
123.78,115.23,110.59
123.32,115.72,111.27
123.71,115.36,111.11
124.42,114.88,110.17
118.89,113.5,107.82
99.97,115.54,125.03
2.2,1.72,2.1
0.39,0.19,0.19
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.36363636363636365,0.36363636363636365,0.6909090909090909
0.81,0.57,0.95
60.92,63.49,58.94
82.08,118.74,101.32
95.78,141.8,108.91
83.0,126.5,96.18
96.87,145.73,115.18
78.67,118.8,88.48
90.56,138.94,105.91
82.5,117.72,80.76
90.05,138.56,108.01
79.99,116.85,75.21
88.38,135.79,102.38
81.1,122.69,79.97
89.35,127.6,95.33
86.21,130.75,90.46
86.35,121.53,85.45
135.36,166.13,155.25
113.6,134.38181818181818,131.0909090909091
128.93,131.67,134.09
216.81,223.34,223.5
220.28,223.95,225.64
218.07,223.47,225.13
216.39,224.58,226.13
218.25,223.68,225.73
214.1,217.53,216.92
98.64,111.99,121.26
2.21,1.26,1.78
0.23,0.15,0.15
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.36363636363636365,0.36363636363636365,0.9090909090909091
0.66,0.66,1.4
62.43,67.84,64.24
88.71,132.34,111.4
88.49,132.17,95.14
83.55,120.72,87.6
86.37,131.99,92.5
78.92,118.31,84.32
89.52,136.31,103.07
80.27,115.83,78.03
93.25,144.64,113.92
82.61,121.76,82.85
96.6,146.66,117.19
86.65,131.13,95.73
89.87,136.8,106.1
97.52,152.17,117.93
90.61,134.06,104.42
137.92,167.78,160.37
118.97272727272727,132.9909090909091,132.87272727272727
134.91,133.35,136.11
217.09,230.32,233.56
191.87,201.82,208.05
202.05,215.15,220.98
218.0,229.08,232.34
154.48,159.18,163.6
206.42,214.71,216.69
98.82,110.83,120.27
2.06,0.9,1.55
0.2,0.2,0.2
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.43636363636363634,0.43636363636363634,0.43636363636363634
2.2,1.12,1.75
65.4,88.58,77.11
95.87,151.99,126.61
93.53,145.15,115.49
81.24,120.97,89.41
