R,G,B
255.0,255.0,255.0
254.6,254.6,254.6
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.94,254.94,254.94
254.75,254.75,254.75
254.84,254.84,254.84
254.78,254.78,254.78
254.87,254.87,254.87
254.82,254.82,254.82
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.6,254.6,254.6
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
253.11,253.11,253.11
192.33,192.29,192.32
104.46,104.58,104.77
68.59,67.83,68.0
77.87,77.89,77.63
107.28,107.46,107.97
160.41,160.19,160.21
239.66,239.66,239.66
254.53,254.53,254.53
254.87,254.87,254.87
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.6,254.6,254.6
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.71,254.71,254.71
239.83333333333334,239.83333333333334,239.83333333333334
78.72,78.33,78.06
71.67,64.51,56.93
133.31,119.15,101.69
147.69,129.41,107.34
133.25,114.93,92.38
114.84,98.71,79.17
87.07,75.21,62.87
43.25,40.05,36.36
120.35,120.12,120.25
240.35,240.35,240.35
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.6,254.6,254.6
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
234.64,234.64,234.64
50.55555555555556,49.75555555555555,48.7
116.61,103.59,88.71
167.74,148.86,127.48
167.48,146.72,120.68
151.92,132.28,108.48
141.11,121.11,96.41
141.05,120.79,95.86
142.6,121.92,97.42
155.89,137.88,116.2
99.21,85.81,69.58
47.96,45.88,44.75
227.58,227.58,227.58
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.6,254.6,254.6
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
252.71,252.86,252.95
76.44,76.03,76.03
120.37777777777778,108.0,94.38888888888889
160.02,142.3,118.19
161.36,143.36,119.36
161.37,143.51,120.23
159.13,141.07,120.75
149.37,129.19,105.37
150.46,132.32,108.54
150.52,130.73,106.99
164.36,146.22,124.31
157.42,136.93,111.53
118.06,102.34,83.07
57.25,56.44,55.11
233.43,233.76,233.53
254.92,254.92,254.92
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.76,254.76,254.76
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.73,254.73,254.73
123.88,123.94,124.28
87.66,78.38,68.38
162.4777777777778,142.38888888888889,118.34444444444445
159.4,140.23,115.23
158.66,140.58,116.62
166.0,149.31,129.1
171.33,155.63,138.43
166.04,149.77,131.8
157.87,139.87,118.43
153.67,135.67,113.59
164.08,145.03,122.73
164.64,143.14,117.43
154.27,135.13,110.81
116.7,102.78,84.32
71.08,70.78,70.43
253.31,253.31,253.31
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.63,254.63,254.63
171.4,171.4,171.4
49.82,42.74,34.92
140.47,121.05,97.63
154.66666666666666,133.42222222222222,108.04444444444445
156.02,135.92,111.07
150.4,132.1,108.1
157.02,139.41,117.92
170.88,154.7,137.36
171.67,155.17,138.53
153.22,135.36,112.9
148.87,130.63,106.87
158.3,141.12,120.1
143.76,124.97,101.32
138.39,117.59,93.33
152.52,133.07,108.9
74.57,65.78,54.91
170.79,170.87,170.79
254.92,254.92,254.92
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.76,254.76,254.76
191.79,191.79,191.79
46.43,41.62,35.68
135.12,115.89,92.17
132.47,112.31,87.39
141.45555555555555,122.38888888888889,98.38888888888889
156.13,139.46,119.29
154.04,136.45,114.0
155.97,136.25,112.56
147.34,127.2,104.62
148.94,129.99,107.84
155.36,137.32,115.18
152.54,134.7,113.26
159.72,142.94,123.84
140.08,121.6,98.24
134.71,113.31,89.21
145.43,126.03,101.33
142.71,125.12,103.08
53.4,52.32,51.0
253.64,253.64,253.64
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.85,254.85,254.85
209.48,209.49,209.42
43.78,40.93,38.18
145.01,126.75,104.57
150.26,130.66,105.86
143.3,123.7,98.9
149.3,130.2111111111111,107.14444444444445
168.72,152.54,134.98
168.35,150.71,132.08
150.92,131.84,107.99
132.37,111.31,86.74
131.93,110.69,84.03
144.94,124.59,99.33
139.86,121.46,97.88
143.32,125.07,101.67
151.43,132.0,107.24
151.83,132.27,107.54
154.67,136.32,113.39
165.41,150.17,132.27
70.72,63.49,55.6
200.82,200.56,200.36
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.92,254.92,254.92
249.87,249.87,249.87
156.21,156.21,156.26
39.13,35.14,32.01
128.64,111.11,87.96
152.23,132.12,107.31
157.7,139.7,115.7
159.55,141.55,117.55
158.88888888888889,141.0888888888889,116.86666666666666
165.16,148.21,127.5
172.35,155.74,137.07
159.01,141.91,122.04
148.54,129.75,108.14
145.23,124.83,101.57
150.94,131.26,108.21
136.93,117.49,93.78
142.34,122.89,97.84
158.64,139.53,114.75
165.85,148.06,124.93
174.04,159.04,142.12
173.62,161.81,147.38
116.35,104.47,90.15
103.32,102.34,101.05
254.72222222222223,254.72222222222223,254.72222222222223
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.64,254.64,254.64
219.05,219.05,219.05
61.2,60.28,59.82
68.8,58.44,46.82
130.82,113.03,90.0
153.65,134.52,113.99
155.22,136.18,114.08
156.36,137.48,114.44
159.23,141.35,117.67
158.9,141.03333333333333,118.36666666666666
162.62,142.84,119.52
159.57,139.18,114.53
163.33,146.45,127.05
164.25,148.55,131.35
168.08,152.32,134.06
158.64,141.94,123.38
149.64,130.93,110.7
156.42,137.82,116.42
155.68,136.84,113.08
153.58,134.79,111.36
163.89,147.65,129.91
168.68,153.61,136.58
152.59,133.52,109.84
41.67,38.28,34.88
248.3,248.3,248.3
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
255.0,255.0,255.0
254.8,254.8,254.8
146.36,146.3,146.3
41.48,36.61,31.78
132.33,119.83,105.3
152.71,137.42,119.01
153.33,137.15,118.13
156.24,138.58,119.04
160.53,141.74,118.85
162.66,142.85,120.79
166.24,149.46,129.89
170.0,153.66666666666666,136.06666666666666
161.73,141.3,117.31
154.66,133.31,106.16
160.6,141.43,119.03
160.4,142.92,123.84
151.39,133.47,110.31
155.93,138.05,118.69
162.98,146.56,130.02
165.61,146.73,126.07
143.99,122.57,96.39
139.07,118.11,91.31
