R,G,B
127.26446280991736,247.0909090909091,248.46280991735537
127.44545454545455,250.8181818181818,250.29090909090908
128.84545454545454,248.8272727272727,247.9
127.96363636363637,232.5,236.73636363636365
127.96363636363637,252.8909090909091,253.01818181818183
127.0,255.0,254.0
127.60909090909091,253.1,250.6
128.3,245.4181818181818,243.9181818181818
127.22727272727273,252.9181818181818,250.42727272727274
128.84297520661158,247.3801652892562,241.70247933884298
126.86363636363636,249.4181818181818,245.86363636363637
128.11818181818182,248.0090909090909,241.3909090909091
127.46363636363637,223.97272727272727,222.86363636363637
127.98181818181818,238.54545454545453,232.0
127.85454545454546,236.33636363636364,229.55454545454546
128.0909090909091,244.71818181818182,236.75454545454545
129.14545454545456,252.9181818181818,243.94545454545454
127.61818181818182,223.05454545454546,210.9
127.12727272727273,175.2,173.29090909090908
126.70247933884298,163.50413223140495,166.80165289256198
127.69090909090909,182.77272727272728,179.92727272727274
128.0090909090909,198.0909090909091,193.61818181818182
126.16363636363636,168.3181818181818,165.85454545454544
125.2090909090909,153.72727272727272,158.95454545454547
121.99090909090908,150.54545454545453,154.52727272727273
127.73636363636363,169.21818181818182,170.76363636363635
124.92727272727272,157.95454545454547,158.20909090909092
125.19090909090909,167.01818181818183,167.20909090909092
123.66115702479338,147.8512396694215,151.2479338842975
125.7909090909091,150.8181818181818,154.8090909090909
122.26363636363637,150.11818181818182,153.05454545454546
124.9,156.22727272727272,157.95454545454547
129.77272727272728,158.94545454545454,161.44545454545454
116.65454545454546,137.23636363636365,143.65454545454546
108.93636363636364,125.0,133.22727272727272
109.89090909090909,126.89090909090909,134.8909090909091
115.41818181818182,132.07272727272726,139.34545454545454
125.81818181818181,160.46363636363637,161.07272727272726
129.9090909090909,187.099173553719,180.1900826446281
128.12727272727273,166.44545454545454,162.5909090909091
127.8,164.94545454545454,158.4090909090909
121.91818181818182,141.75454545454545,140.5
124.63636363636364,156.3,153.78181818181818
122.10909090909091,145.1909090909091,142.94545454545454
126.53636363636363,167.9090909090909,162.0909090909091
121.72727272727273,147.85454545454544,144.52727272727273
114.06363636363636,130.78181818181818,133.14545454545456
119.88429752066116,136.94214876033058,137.4297520661157
111.92727272727272,123.08181818181818,127.63636363636364
111.93636363636364,121.88181818181818,128.64545454545456
115.41818181818182,130.5,133.5
108.8,116.50909090909092,122.48181818181818
108.27272727272727,119.36363636363636,125.9090909090909
112.3,122.13636363636364,128.11818181818182
104.56363636363636,113.76363636363637,119.73636363636363
118.04545454545455,131.25454545454545,129.44545454545454
108.61818181818182,114.34545454545454,119.36363636363636
101.7603305785124,105.15702479338843,112.83471074380165
88.73636363636363,87.94545454545455,106.35454545454546
87.35454545454546,85.10909090909091,99.83636363636364
81.62727272727273,70.21818181818182,86.82727272727273
82.95454545454545,74.65454545454546,89.63636363636364
88.93636363636364,85.38181818181818,99.98181818181818
88.27272727272727,85.54545454545455,102.4
86.26363636363637,83.57272727272728,100.48181818181818
82.97272727272727,81.56363636363636,95.77272727272727
73.5702479338843,52.90909090909091,65.21487603305785
74.46363636363637,62.63636363636363,76.15454545454546
71.75454545454545,55.22727272727273,66.42727272727272
70.6,51.11818181818182,62.981818181818184
65.04545454545455,34.163636363636364,40.236363636363635
64.24545454545455,37.92727272727273,46.09090909090909
67.45454545454545,40.74545454545454,53.89090909090909
67.54545454545455,46.263636363636365,57.472727272727276
64.05454545454545,28.181818181818183,35.945454545454545
55.85454545454545,10.354545454545455,13.3
127.14545454545454,226.1727272727273,229.6
127.98,231.65,235.83
127.78,240.74,242.11
127.21,243.81,243.98
126.64,254.36,252.87
127.0,255.0,254.0
126.76,252.78,250.17
128.83,254.93,252.04
128.22,253.79,250.77
127.16363636363636,239.5,235.15454545454546
128.36,244.56,240.41
128.44,244.42,236.76
127.44,211.34,210.89
128.1,240.06,233.95
128.4,238.04,227.62
127.8,242.87,229.7
126.23,240.1,226.18
129.22,217.46,207.28
126.38,174.97,172.79
125.60909090909091,155.76363636363635,160.16363636363636
127.04,181.28,178.74
128.7,210.06,202.79
125.12,169.27,166.53
126.19,158.83,161.37
123.94,152.21,155.59
120.85,146.65,151.82
117.94,141.08,145.02
119.51,142.49,147.9
121.3,144.48181818181817,148.5818181818182
126.83,151.83,155.83
125.62,149.72,153.72
123.95,152.46,154.88
123.78,150.39,151.29
115.52,132.7,138.55
110.19,123.45,132.17
116.75,134.53,141.64
121.07,141.05,145.55
126.42,171.1,167.0
128.13636363636363,183.53636363636363,173.9181818181818
128.41,165.0,159.66
128.9,169.42,160.95
124.62,144.96,143.25
126.05,167.1,161.07
118.73,140.01,137.96
127.86,175.75,167.35
120.33,149.92,144.36
120.95,137.88,137.27
124.34545454545454,148.5090909090909,143.8090909090909
108.24,118.32,122.18
110.64,121.81,127.17
125.77,153.36,148.75
113.5,128.4,127.09
108.06,116.1,121.08
109.47,116.03,121.88
106.29,114.55,119.98
120.61,135.57,131.5
117.55,128.06,126.24
101.31818181818181,105.60909090909091,112.76363636363637
91.0,91.18,105.02
89.32,87.37,103.98
89.01,88.79,102.57
88.81,89.25,102.45
88.48,88.18,101.91
87.49,85.72,99.87
85.05,84.53,98.62
73.11,54.1,62.58
61.93636363636364,29.927272727272726,31.754545454545454
64.38,32.5,40.2
66.76,33.32,44.59
64.35,29.47,36.19
57.34,17.93,22.27
66.16,43.82,55.48
63.25,28.48,36.33
64.77,35.25,44.68
57.98,19.71,23.96
54.68,9.37,11.1
128.53636363636363,215.0818181818182,217.27272727272728
