R,G,B
81.2909090909091,78.52727272727273,60.445454545454545
81.42727272727272,78.55454545454545,60.263636363636365
64.37272727272727,62.06363636363636,43.25454545454546
62.163636363636364,60.09090909090909,41.88181818181818
60.63636363636363,57.40909090909091,41.81818181818182
65.69090909090909,63.10909090909091,43.91818181818182
68.54545454545455,66.52727272727273,47.872727272727275
75.7090909090909,72.99090909090908,53.91818181818182
83.96363636363637,82.37272727272727,63.72727272727273
78.68181818181819,78.2,61.24545454545454
72.84,70.69,56.17
64.63,63.37,47.62
85.26,79.72,69.53
90.28,81.85,72.73
38.49,35.55,29.46
35.94,30.99,24.32
51.79,46.87,34.48
54.29,51.36,36.5
61.66,60.57,45.8
53.51,53.74,40.5
59.18,59.24,45.8
70.58,67.44,58.45
107.43,92.41,86.23
175.4,142.12,124.41
168.7,127.06,99.19
100.06,77.57,56.06
141.43,111.01,86.37
104.98,89.26,78.62
58.34,55.26,39.72
57.75,57.59,47.69
92.38,88.42,75.75
152.69,137.6,132.83
117.93,101.74,95.08
173.57,137.62,116.74
222.29,178.36,153.21
104.96,82.4,70.64
174.48,133.13,111.37
172.41,130.64,107.5
220.65,174.84,149.13
219.71,177.74,152.24
105.29,95.48,83.29
82.53,74.66,68.74
40.55,37.54,33.72
94.89,75.26,66.56
204.67,162.4,144.37
176.25,144.07,127.01
231.33,206.5,194.58
164.54,127.19,110.23
187.65,142.4,128.81
178.55,143.69,123.06
58.73,56.67,46.06
52.22,46.83,41.05
28.71,27.39,26.31
39.43,36.17,32.97
96.19,77.67,68.62
102.66,80.09,71.39
154.18,113.94,96.92
134.22,103.41,90.48
141.78,103.36,90.0
136.41,105.0,91.3
58.15,65.51,45.05
78.92,82.66,62.12
31.72,31.96,25.52
29.87,28.2,26.51
27.4,25.99,23.15
50.45,39.58,33.76
133.8,104.63,87.28
107.35,85.73,68.61
106.68,98.74,77.84
129.92,116.24,107.24
131.8,176.13,108.35
159.52,203.5,128.87
139.1,164.07,117.77
85.21,92.0,75.76
32.33,35.21,25.67
46.86,50.22,42.08
116.67,128.2,103.29
113.2,126.99,109.28
179.57,197.4,170.25
145.74,163.29,134.87
142.92,181.95,114.14
142.8,185.16,126.33
171.43,205.65,149.7
182.6,221.39,154.98
150.28,195.55,120.5
135.19,171.33,116.58
177.98,212.3,159.32
159.93,196.54,135.09
189.56,220.42,166.48
213.66,240.32,186.58
